gen best mean std
0 91.772379 7.20666 27.717825
1 92.776119 73.557618 23.955143
2 92.53704 79.926 21.344892
3 92.576119 81.80125 18.783036
4 93.789365 88.512822 9.676476
5 92.963047 84.570208 17.539635
6 93.127 87.786919 10.606209
7 93.989365 88.415431 8.085025
8 92.635214 89.824863 5.033449
9 93.127 89.137999 8.864127
10 92.635214 90.439005 4.619008
11 92.58272 90.765491 4.431502
12 92.58272 91.787578 3.350346
13 92.58272 91.877914 1.692839
14 92.58272 91.65212 2.927918
15 92.58272 92.035278 5.282693
16 92.58272 91.170998 4.222153
17 92.58272 91.77976 3.193634
18 92.58272 91.409364 3.655864
19 92.58272 91.547976 3.195088
20 92.58272 91.611832 3.452599
21 92.58272 92.195778 2.00254
22 92.58272 91.579622 3.920176
23 92.58272 91.981933 1.520114
24 92.58272 92.420063 0.808147
25 92.58272 91.933954 2.673346
26 92.58272 92.523791 0.511293
27 92.58272 91.407696 3.96232
28 92.58272 91.929153 1.576483
29 92.58272 90.767026 7.632168
30 92.58272 91.797609 3.339514
