gen best mean std
0 91.772379 3.701916 24.120713
1 92.927 51.045928 33.367574
2 92.927 87.196233 14.430369
3 92.927 91.078363 7.022354
4 92.927 91.787471 0.119839
5 92.927 91.818564 0.226259
6 92.927 91.716632 0.650584
7 92.927 91.83011 0.251644
8 92.927 90.757121 6.772053
9 92.927 91.810557 0.240311
10 92.927 91.686379 0.859982
11 92.927 91.770464 0.538685
12 92.927 91.621245 2.718556
13 92.927 91.90801 0.869684
14 92.927 90.244074 10.547589
15 93.127 92.732917 0.599756
16 93.727 92.485842 1.416606
17 93.727 92.597522 1.189824
18 93.727 92.469301 1.333194
19 93.727 92.711533 1.057512
20 93.727 92.742964 1.294406
21 93.727 93.40547 0.677312
22 93.727 92.190159 8.788233
23 93.727 93.132357 1.179492
24 93.727 93.261688 1.001277
25 93.727 93.510209 0.720063
26 93.727 93.307487 1.292493
27 93.727 93.206453 1.210774
28 93.727 92.91629 5.722134
29 93.727 93.204325 1.251126
30 93.727 93.293164 0.961392
