gen best mean std
0 57.732142 -0.718268 13.163459
1 66.16227 30.625044 23.505509
2 66.16227 54.440314 9.957941
3 66.16227 56.516544 5.872644
4 66.16227 57.681534 0.883029
5 66.16227 57.899441 1.180475
6 66.16227 57.985046 1.438072
7 66.16227 58.153648 1.837304
8 66.16227 57.995743 2.081173
9 66.16227 58.743757 2.739467
10 66.16227 61.261398 4.171212
11 66.16227 66.16227 0.0
12 66.16227 66.16227 0.0
13 66.16227 66.16227 0.0
14 66.16227 65.98227 1.26
15 66.16227 66.16227 0.0
16 66.16227 66.16227 0.0
17 66.16227 66.16227 0.0
18 66.16227 66.16227 0.0
19 66.16227 66.16227 0.0
20 66.16227 64.823875 5.824508
21 66.16227 66.16227 0.0
22 66.16227 66.16227 0.0
23 66.16227 66.16227 0.0
24 66.16227 66.16227 0.0
25 66.16227 66.16227 0.0
26 66.16227 65.71227 1.961505
27 66.16227 66.16227 0.0
28 66.16227 66.16227 0.0
29 66.16227 66.16227 0.0
30 66.16227 66.16227 0.0
