gen best mean std
0 57.732142 0.676399 14.44243
1 75.091917 25.190959 23.162336
2 75.091917 50.490043 14.677803
3 75.091917 57.447733 4.748004
4 75.091917 56.839403 4.57719
5 75.091917 57.812344 1.747505
6 75.091917 57.90574 1.727276
7 75.091917 57.90574 1.727276
8 75.091917 57.90574 1.727276
9 75.091917 58.079337 2.430369
10 75.091917 58.600131 3.783475
11 75.091917 60.336108 6.19868
12 75.091917 68.842398 8.332692
13 75.091917 75.091917 0.0
14 75.091917 75.091917 0.0
15 75.091917 75.091917 0.0
16 75.091917 75.091917 0.0
17 75.091917 75.091917 0.0
18 75.091917 75.091917 0.0
19 75.091917 75.091917 0.0
20 75.091917 75.091917 0.0
21 75.091917 75.091917 0.0
22 75.091917 75.091917 0.0
23 75.091917 75.091917 0.0
24 75.091917 75.091917 0.0
25 75.091917 75.091917 0.0
26 75.091917 75.091917 0.0
27 75.091917 75.091917 0.0
28 75.091917 75.091917 0.0
29 75.091917 75.091917 0.0
30 75.091917 75.091917 0.0
