gen best mean std
0 57.732142 -0.286996 13.541952
1 66.241098 23.167984 23.174825
2 66.241098 52.16704 13.857572
3 66.601837 57.182305 2.958706
4 66.601837 57.017042 5.652677
5 66.601837 58.140958 2.147666
6 75.701683 58.403483 6.928299
7 75.701683 60.037177 5.632469
8 75.701683 63.721407 8.256853
9 75.701683 71.535004 7.391598
10 75.701683 74.246988 7.947973
11 75.701683 74.254633 7.180063
12 75.701683 74.317747 4.594111
13 75.701683 74.702451 5.282146
14 75.701683 74.14413 5.770849
15 75.701683 75.162292 2.790546
16 75.701683 73.043565 9.209506
17 75.701683 74.501423 4.451646
18 75.701683 74.882742 3.417265
19 75.701683 74.796217 3.731367
20 75.701683 74.33597 7.801411
21 75.701683 74.513986 4.409973
22 75.701683 74.971504 3.577586
23 75.701683 75.070989 2.921868
24 75.701683 74.966285 3.087468
25 75.701683 75.250989 2.339656
26 75.701683 74.329185 4.171044
27 75.701683 74.969672 3.079167
28 75.701683 73.05973 10.167041
29 75.701683 74.795137 3.738805
30 75.701683 74.241908 7.771123
