gen best mean std
0 85.838793 2.835159 16.150667
1 85.838793 28.988188 17.57615
2 87.011736 50.729695 16.098079
3 87.011736 58.9773 8.26608
4 88.411736 58.861021 7.40372
5 88.411736 60.967557 11.034043
6 88.411736 71.130994 14.530737gen best mean std
0 56.773463 3.580536 17.559754
7 89.066602 85.497185 6.233716
1 74.862273 32.744277 22.309473
8 89.066602 87.148259 1.367804
2 90.417915 56.306583 8.553984
9 89.066602 87.382001 1.480104
3 90.417915 58.076352 5.15863
10 89.066602 82.557034 13.99054
4 90.417915 59.156352 5.687778
11 89.066602 89.009219 0.290099
5 90.417915 61.609908 5.331819
12 89.066602 89.066602 0.0
6 90.417915 66.019908 2.452092
13 89.066602 89.066602 0.0
7 90.417915 66.019908 2.452092
14 89.066602 89.066602 0.0
8 90.417915 66.019908 2.452092
15 89.066602 89.066602 0.0
16 89.066602 83.877742 15.881242
9 90.417915 63.773854 7.800259
17 89.066602 89.066602 0.0
10 90.417915 65.209908 3.61191
18 89.066602 89.066602 0.0
11 90.417915 66.266352 3.450223
19 89.066602 89.066602 0.0
12 90.417915 66.512797 4.204029
20 89.066602 89.066602 0.0
13 90.417915 67.005686 5.371134
21 89.066602 89.066602 0.0
14 90.417915 68.977242 8.288014
22 89.066602 84.789214 13.69023
15 90.417915 64.438245 16.654571
23 89.066602 89.066602 0.0
16 90.417915 78.041005 16.664872
24 89.066602 89.066602 0.0
17 90.417915 90.417915 0.0
25 89.066602 89.066602 0.0
18 90.417915 90.417915 0.0
26 89.066602 89.066602 0.0
27 89.066602 89.066602 0.0
19 90.417915 90.417915 0.0
28 89.066602 85.142162 14.822272
20 90.417915 90.417915 0.0
29 89.066602 89.066602 0.0
21 90.417915 84.51868 17.137642
30 89.066602 89.066602 0.0
22 90.417915 90.417915 0.0
23 90.417915 90.417915 0.0
24 90.417915 90.417915 0.0
25 90.417915 90.417915 0.0
26 90.417915 90.417915 0.0
27 90.417915 84.425338 17.629466
28 90.417915 90.417915 0.0
29 90.417915 90.417915 0.0
30 90.417915 90.417915 0.0
