gen best mean std
0 87.993424 0.283094 14.900241
1 87.993424 21.881731 21.396282
2 87.993424 49.858727 17.940856
3 89.213791 57.79283 13.423123
4 89.213791 57.354704 16.594963
5 89.793424 57.153528 19.947425
6 89.793424 60.110136 20.097742
7 89.793424 59.278858 19.104242
8 92.162129 63.834586 18.554725
9 92.162129 61.010393 17.952781
10 92.162129 64.017876 18.603141
11 92.162129 63.801344 18.209644
12 92.162129 64.389 19.949512
13 92.162129 70.802551 18.078541
14 92.162129 78.843485 14.29165
15 92.162129 80.26154 13.289684
16 92.162129 83.045373 15.24018
17 92.162129 82.086057 15.656322
18 92.162129 84.633226 10.573228
19 92.162129 80.007647 14.477576
20 92.162129 77.400168 17.509966
21 92.162129 79.711163 14.537763
22 92.162129 79.872708 13.083772
23 92.162129 80.651416 17.99108
24 92.162129 88.033749 12.094818
25 92.162129 87.913473 13.581661
26 92.162129 88.620695 12.588371
27 92.162129 89.259703 9.855624
28 92.162129 91.098361 7.860351
29 92.162129 88.20875 10.919963
30 92.162129 86.942182 13.490514
