gen best mean std
0 35.322411 -1.986839 10.267433
1 36.005306 10.770269 13.898644
2 37.49149 13.769834 11.040615
3 37.49149 16.583698 9.506141
4 37.49149 18.184857 7.985225
5 38.050043 19.54147 7.889945
6 38.050043 22.428521 4.536418
7 38.050043 23.696125 3.361425
8 40.031587 23.550779 5.445192
9 40.031587 23.443114 6.430204
10 48.559891 25.097783 6.639126
11 48.559891 24.334017 3.888909
12 48.559891 25.031241 5.019838
13 48.559891 26.146646 5.884176
14 48.559891 33.461015 9.609417
15 53.778669 32.282786 11.524319
