gen best mean std
0 56.759882 0.264788 14.959507
1 56.759882 16.137653 23.711882
2 60.091381 29.44871 24.675679
3 60.091381 39.62246 20.686045
4 60.252166 44.666619 15.995151
5 60.252166 45.545495 16.0522
6 60.252166 49.565672 9.363527
7 60.471326 50.946774 6.653529
8 60.471326 49.42244 10.035267
9 63.300368 51.631848 7.09604
10 63.300368 50.892618 6.926359
11 63.300368 51.159093 6.278118
12 63.300368 51.632158 4.385974
13 63.300368 51.812274 5.120166
14 63.300368 52.556015 1.66966
15 63.319311 53.741973 11.632897
