gen best mean std
0 18.79802 -4.358055 5.050509
1 21.667033 -1.793603 7.477365
2 31.350916 2.903672 10.990063
3 31.350916 10.264161 11.451557
4 57.186199 8.396134 12.31912
5 57.308083 9.267852 17.513052
6 57.308083 18.680792 21.03864
7 57.376252 30.159778 23.912671
8 57.393284 45.543818 17.555716
9 57.393284 51.264051 12.746299
10 57.393284 55.189813 5.547299
11 57.393284 55.575564 4.681771
12 57.39463 54.747408 5.313255
13 57.39463 55.557221 4.171086
14 57.422947 56.444918 2.289038
15 57.422947 55.832083 4.704653
